Close,Volume,Open,High,Low
149.8,124953200,147.22,149.94,146.41
152.57,100077900,149.82,153.17,149.72
148.85,56094930,149.36,149.73,148.49
149.32,60893400,149.33,150.84,149.01
148.64,50720560,148.68,149.37,147.62
148.69,58883440,149.69,150.18,148.64
149.48,61420990,148.81,149.64,147.87
149.26,58418790,148.7,149.75,148.12
148.76,76378890,147.01,149.17,146.55
146.55,85589180,143.45,146.84,143.16
144.84,67940330,143.77,144.9,143.51
143.76,69907100,142.11,143.88,141.51
140.91,78762720,141.24,141.4,139.2
141.51,73035860,143.23,143.25,141.04
142.81,64452220,142.27,144.81,141.81
142.9,58773160,144.03,144.18,142.56
143.29,61732660,143.06,144.22,142.72
142,83221120,139.47,142.15,138.37
141.11,80861060,139.49,142.24,139.36
139.14,98322010,141.76,142.21,138.27
142.65,94639580,141.9,142.92,139.11
141.5,89056660,143.66,144.38,141.28
142.83,74602040,142.47,144.45,142.03
141.91,108972300,143.25,144.75,141.69
145.37,74150730,145.47,145.96,143.82
146.92,53477870,145.66,147.47,145.56
146.83,64838170,146.65,147.08,145.64
145.85,76404340,144.45,146.43,143.7
143.43,75833960,143.93,144.6,142.78
142.94,123478900,143.8,144.84,141.27
146.06,129868800,148.82,148.82,145.76
148.79,68034150,148.44,148.97,147.22
149.03,83281320,148.56,149.44,146.37
148.12,109296300,150.35,151.07,146.91
149.55,102404300,150.63,151.42,148.75
148.97,140893200,155,155.48,148.7
154.07,57305730,155.49,156.11,153.95
155.11,74420210,156.98,157.04,153.98
156.69,82278260,154.97,157.26,154.39
154.3,57866070,153.76,154.63,153.09
153.65,71171320,153.87,154.72,152.4
152.51,80313710,152.83,154.98,152.34
151.83,86453120,152.66,152.8,151.29
153.12,90956720,149,153.49,148.61
148.6,55802390,147.48,148.75,146.83
147.54,48597200,148.35,149.12,147.51
148.36,58991300,149.81,150.32,147.8
149.62,48606430,149.45,150.86,149.15
149.71,60131810,148.31,150.19,147.89
148.19,60549630,147.44,148.5,146.78
146.7,86960310,145.03,148,144.5
146.36,86325990,149.8,150.72,146.15
150.19,92229740,150.23,151.68,149.09
151.12,103558800,148.54,151.19,146.47
149.1,59375010,148.97,149.44,148.27
